resistance,temperature
2.19973,329.985
2.20866,325.000
2.21970,319.000
2.23005,313.500
2.24062,308.000
2.25143,302.500
2.26249,297.000
2.27380,291.500
2.28537,286.000
2.29722,280.500
2.30934,275.000
2.32175,269.500
2.33330,264.500
2.34510,259.500
2.35716,254.500
2.36951,249.500
2.38214,244.500
2.39506,239.500
2.40830,234.500
2.42186,229.500
2.43575,224.500
2.44999,219.500
2.46459,214.500
2.47957,209.500
2.49495,204.500
2.51073,199.500
2.52532,195.000
2.54025,190.500
2.55557,186.000
2.57128,181.500
2.58741,177.000
2.60397,172.500
2.62098,168.000
2.63847,163.500
2.65646,159.000
2.67497,154.500
2.69191,150.500
2.70930,146.500
2.72718,142.500
2.74557,138.500
2.76451,134.500
2.78403,130.500
2.80415,126.500
2.82493,122.500
2.84640,118.500
2.86581,115.000
2.88579,111.500
2.90642,108.000
2.92773,104.500
2.94976,101.000
2.96602,98.5000
2.98264,96.0000
